Month,Number of cases
Apr 2,44
Apr 1,34
Mar 31,64
Mar 30,83
Mar 29,41
Mar 28,48
Mar 27,76
Mar 26,36
Mar 25,30
Mar 24,50
Mar 23,33
Mar 22,19
Mar 21,6
Mar 20,16
Mar 19,28
Mar 18,10
Mar 17,30
Mar 16,8
Mar 15,6
Mar 14,9
Mar 13,30
Mar 12,0
Mar 11,0
Mar 10,11
Mar 9,0
Mar 8,6
Mar 7,14
Mar 6,5
Mar 5,0
Mar 4,3
Mar 3,6
Mar 2,7
Mar 1,6
Feb 29,6
Feb 28,0
Feb 27,2
Feb 26,4
Feb 25,0
Feb 24,1
Feb 23,0
Feb 22,0
Feb 21,0
Feb 20,0
Feb 19,0
Feb 18,0
Feb 17,0
Feb 16,0
Feb 15,0
Feb 14,0
Feb 13,0
Feb 12,0
Feb 11,0
Feb 10,0
Feb 9,0
Feb 8,0
Feb 7,0
Feb 6,0
Feb 5,0
Feb 4,0
Feb 3,0
Feb 2,0
Feb 1,0
Jan 31,0
Jan 30,0
Jan 29,0
Jan 28,0
Jan 27,0
Jan 26,0
Jan 25,0
Jan 24,0
Jan 23,0
Jan 22,0
