Month,Retail sales value in thousand GBP
Nov 20,9015723
Oct 20,8179023
Sep 20,7683550
Aug 20,7620906
Jul 20,7829555
Jun 20,7515884
May 20,6664645
Apr 20,5951083
Mar 20,6830717
Feb 20,6878626
Jan 20,6832800
Dec 19,9592060
Nov 19,8280504
Oct 19,7549030
Sep 19,7240427
Aug 19,7322461
Jul 19,7645548
Jun 19,7393107
May 19,7310037
Apr 19,7335758
Mar 19,7054372
Feb 19,6761602
Jan 19,6641912
Dec 18,9334899
Nov 18,8365334
Oct 18,7358698
Sep 18,7056768
Aug 18,7156531
Jul 18,7401785
Jun 18,7142805
May 18,7174902
Apr 18,6845085
Mar 18,6774081
Feb 18,6511500
Jan 18,6418189
Dec 17,9160628
Nov 17,8097422
Oct 17,7188555
Sep 17,6848098
Aug 17,6924004
Jul 17,7112851
Jun 17,6944143
May 17,6879428
Apr 17,6986903
Mar 17,6569830
Feb 17,6431510
Jan 17,6342561
Dec 16,9045235
Nov 16,7998821
Oct 16,7187701
Sep 16,6745845
Aug 16,6758848
Jul 16,7028647
Jun 16,6766418
May 16,6830961
Apr 16,6602190
Mar 16,6469787
Feb 16,6255695
Jan 16,6266816
Dec 15,8492738
Nov 15,7536801
Oct 15,6705614
Sep 15,6492193
Aug 15,6387026
Jul 15,6682776
Jun 15,6576104
May 15,6511043
Apr 15,6369892
Mar 15,6344735
Feb 15,6045613
Jan 15,6012168
Dec 14,8400582
Nov 14,7293353
Oct 14,6516193
Sep 14,6158498
Aug 14,6215430
Jul 14,6438928
Jun 14,6340120
May 14,6259428
Apr 14,6257037
Mar 14,5967086
Feb 14,5804782
Jan 14,5744011
Dec 13,8155538
Nov 13,6797845
