Country,Median per-capita income in U.S. dollars
Norway,19308
Sweden,18632
Luxembourg,18418
Denmark,18262
Finland,15725
United States,15480
Canada,15181
Australia,15026
Netherlands,14450
Germany,14098
France,12445
United Kingdom,12399
Austria,12284
New Zealand,12147
South Korea,11350
Japan,10840
Belgium,10840
Hong Kong,10189
Slovenia,9705
Ireland,8656
Israel,8048
Czech Republic,7821
Kuwait,7487
Singapore,7345
Spain,7284
Taiwan,6882
Italy,6874
Malta,6869
Greece,6086
Portugal,5519
Slovakia,5455
Belarus,5236
Croatia,5117
Qatar,5117
Estonia,5031
Cyprus,4932
Bahrain,4778
Saudi Arabia,4762
Lithuania,4713
Poland,4578
Hungary,4493
Russia,4129
Argentina,4109
Latvia,4000
Ukraine,3876
Montenegro,3123
Iran,3115
Serbia,3020
Lebanon,2960
Mexico,2900
