State,Cost of care as a percentage of median income
California,17.5%
Maine,16.5%
Massachusetts,16.4%
Colorado,16%
Oregon,15.7%
Washington,15.3%
Minnesota,15.3%
Indiana,14.8%
New York,14.7%
Kansas,14.6%
Hawaii,14.3%
Nevada,14.2%
Illinois,14%
District of Columbia,13.9%
Nebraska,13.8%
Virginia,13.7%
Arizona,13.4%
Wisconsin,13.4%
Vermont,13.4%
Connecticut,12.7%
New Jersey,12.6%
Maryland,12.6%
New Mexico,12.5%
Utah,12%
New Hampshire,12%
Pennsylvania,11.9%
Iowa,11.8%
Idaho,11.8%
Oklahoma,11.7%
Alaska,11.7%
Florida,11.7%
Missouri,11.6%
Texas,11.6%
Michigan,11.5%
Tennessee,11.5%
South Carolina,11.2%
Delaware,11.2%
North Carolina,11.2%
Ohio,11%
Rhode Island,10.7%
West Virginia,10.6%
Georgia,10.4%
Wyoming,10.1%
Louisiana,9.5%
Kentucky,9.4%
North Dakota,9.3%
Alabama,9.1%
Arkansas,8.9%
Mississippi,7.6%
South Dakota *,-
Montana *,-
