Year,GDP per capita in U.S. dollars
2025*,18653.25
2024*,18269.55
2023*,17892.68
2022*,17450.39
2021*,16621.96
2020*,16197.2
2019*,17276.43
2018,17130.24
2017,16238.27
2016,16182.78
2015,18289.53
2014,20286.55
2013,20173.25
2012,19208.07
2011,19320.96
2010,16958.0
2009,14801.21
2008,21464.21
2007,16807.87
2006,14273.56
2005,12467.75
2004,10438.77
2003,8927.64
2002,7159.0
2001,7042.21
2000,6541.69
1999,5475.18
1998,4869.37
1997,4629.73
1996,4655.85
1995,4319.5
1994,4024.88
1993,3741.17
1992,4471.24
1991,4390.02
1990,4219.12
1989,3623.43
1988,3796.41
1987,4083.15
1986,4118.85
1985,6407.75
