business,Turnover in billion DKK
E-boks A/S,231.04
Glunz & Jensen Holding A/S,195.63
A.P. Møller - Mærsk A/S,192.17
Centrica Energy Trading A/S,77.83
Vestas Manufacturing A/S,48.19
Danske Bank A/S,48.15
Energi Danmark A/S,44.54
Lego A/S,38.54
Coop Danmark A/S,35.34
Ørsted Salg & Service A/S,33.08
Siemens Gamesa Renewable Energy A/S,30.46
Lego System A/S,28.11
Ørsted Wind Power A/S,25.25
Danish Crown A/S,22.08
Pandora A/S,21.87
Equinor Refining Denmark A/S,20.59
Reitan Distribution A/S,18.24
"Lundbeck A/S, H",17.04
Coloplast A/S,15.53
Bestseller A/S,13.86
