city of the United States,Average price per ounce in U.S. dollars
"Aurora, Colorado",192$
"Colorado Springs, Colorado",205$
"Salem, Oregon",207$
"Portland, Oregon",211$
"Eugene, Oregon",213$
"Spokane, Oregon",216$
"Medford, Oregon",216$
"Bend, Oregon",217$
"Denver, Colorado",219$
"Vancouver, Washington",223$
"Tacoma, Washington",231$
"Inglewood, California",237$
"Seattle, Washington",240$
"Escondido, California",250$
"Boulder, Colorado",253$
"Mesa, Arizona",259$
"Torrance, California",260$
"Santa Clarita, California",269$
"Carlsbad, California",270$
"Surprise, Arizona",270$
