Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",12.46
Government and government enterprises,9.01
Manufacturing,8.66
Professional and business services,7.91
"Educational services, health care, and social assistance",6.79
Retail trade,6.11
"Agriculture, forestry, fishing, and hunting",5.93
Wholesale trade,4.72
Construction,4.08
"Arts, entertainment, recreation, accommodation, and food services",2.73
Transportation and warehousing,2.0
Information,1.85
Utilities,1.17
"Mining, quarrying, and oil and gas extraction",0.27
