State,Number of cases
New York City total,443647
Queens,128939
Kings (Brooklyn),126683
Suffolk,102465
Nassau,93106
Bronx,86277
Westchester,72762
New York (Manhattan),64899
Erie,43442
Richmond (Staten Island),36849
Monroe,36258
Rockland,28335
Orange,24370
Onondaga,22010
Oneida,13269
Dutchess,13020
Albany,12593
Niagara,9259
Broome,8672
Ulster,6509
Schenectady,6501
Saratoga,6360
Putnam,5162
Rensselaer,4958
Chemung,4753
Chautauqua,4097
Oswego,4011
Cayuga,3681
Steuben,3665
Ontario,3652
Sullivan,3249
Genesee,2906
Wayne,2827
Cattaraugus,2699
Herkimer,2671
Cortland,2575
Madison,2458
Jefferson,2382
St. Lawrence,2375
Tompkins,2152
Livingston,2042
Otsego,1985
Allegany,1955
Tioga,1792
Columbia,1768
Wyoming,1533
Montgomery,1516
Greene,1491
Orleans,1464
Fulton,1409
Warren,1346
Chenango,1326
Clinton,1312
Lewis,1001
Seneca,990
Washington,940
Franklin,937
Delaware,760
Essex,660
Yates,648
Schoharie,628
Schuyler,571
Hamilton,120
