Domestic industries,Profits in billion U.S. dollars
Other nonfinancial,422.6
Other financial,367.4
Retail trade,163.9
Wholesale trade,120.4
Information,101.6
Other durable goods,53.7
Chemical products,52.0
Federal Reserve banks,51.6
Food and beverage and tobacco products,47.0
Computer and electronic products,41.0
Transportation and warehousing,40.6
Fabricated metal products,27.0
Other nondurable goods,25.4
Machinery,16.7
Petroleum and coal products,11.0
"Electrical equipment, appliances, and components",2.4
Utilities,-2.5
"Motor vehicles, bodies and trailers, and parts",-3.4
