Year,"Deaths per 1,000 live births"
2020,68.0
2015,81.0
2010,100.0
2005,120.0
2000,138.0
1995,161.0
1990,191.0
1985,225.0
1980,257.0
1975,287.0
1970,315.0
1965,342.0
1960,374.0
1955,405.0
1950,428.0
1945,435.8
1940,443.4
1935,451.4
1930,458.0
1925,462.8
1920,468.0
1915,472.8
1910,478.0
1905,480.6
1900,482.4
1895,481.8
1890,481.0
1885,480.2
1880,480.0
1875,479.2
1870,479.0
1865,477.4
1860,477.0
1855,476.2
1850,476.0
1845,474.4
1840,474.0
1835,473.0
1830,473.0
1825,471.0
1820,471.0
1815,470.0
1810,470.0
1805,469.0
1800,469.0
