State,"Deaths per 1,000 live births"
Alaska,5.9
Alabama,7.0
Arkansas,7.5
Arizona,5.6
California,4.2
Colorado,4.7
Connecticut,4.2
Delaware,5.8
Florida,6.0
Georgia,7.0
Hawaii,6.8
Iowa,5.1
Idaho,5.1
Illinois,6.5
Indiana,6.8
Kansas,6.5
Kentucky,5.8
Louisiana,7.6
Massachusetts,4.2
Maryland,6.1
Maine,5.4
Michigan,6.2
Minnesota,5.1
Missouri,6.3
Mississippi,8.3
Montana,4.8
North Carolina,6.7
North Dakota,5.5
Nebraska,5.8
New Hampshire,3.6
New Jersey,3.9
Nevada,6.1
New Mexico,5.7
New York,4.3
Ohio,6.9
Oklahoma,7.1
Oregon,4.2
Pennsylvania,5.9
Rhode Island,5.0
South Carolina,7.2
South Dakota,5.9
Tennessee,6.9
Texas,5.5
Utah,5.5
Virginia,5.6
Vermont,6.4
Washington,4.7
Wisconsin,6.1
West Virginia,7.1
Wyoming,5.3
