Year,GDP per capita in U.S. dollars
2025*,64084.57
2024*,62045.17
2023*,59982.46
2022*,57759.98
2021*,54820.3
2020*,48634.34
2019,50380.28
2018,51292.7
2017,47440.2
2016,45239.79
2015,44267.8
2014,51814.42
2013,50748.09
2012,48615.82
2011,51441.11
2010,46958.52
2009,48095.4
2008,51953.56
2007,46922.42
2006,40672.61
2005,38477.27
2004,36871.58
2003,32290.95
2002,26482.84
2001,24554.25
2000,24631.58
1999,27209.31
1998,27399.09
1997,26737.48
1996,29820.61
1995,30350.55
1994,25725.57
1993,24152.67
1992,25068.41
1991,22621.89
1990,21827.45
1989,17547.82
1988,17632.82
1987,16093.02
1986,12886.1
1985,9090.8
