Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",23.79
Government and government enterprises,13.69
Manufacturing,12.05
Professional and business services,11.26
"Educational services, health care, and social assistance",9.74
"Agriculture, forestry, fishing, and hunting",9.53
Transportation and warehousing,8.66
Wholesale trade,7.05
Retail trade,6.37
Information,4.33
"Arts, entertainment, recreation, accommodation, and food services",2.9
Utilities,2.67
Construction,2.65
"Mining, quarrying, and oil and gas extraction",0.21
