city of the United States,Snow probability
"Fairbanks, Alaska",100%
"Duluth, Minnesota",97%
"Marquette, Michigan",90%
"Anchorage, Alaska",90%
"Fargo, North Dakota",83%
"Portland, Maine",83%
"Massena, New York",77%
"Spokane, Washington",70%
"Helena, Montana",67%
"Akron, Ohio",60%
"Milwaukee, Wisconsin",60%
"Cleveland, Ohio",60%
"Hartford, Connecticut",57%
"Salt Lake City, Utah",53%
"Denver, Colorado",50%
"Des Moines, Iowa",50%
"Detroit, Michigan",50%
"Rapid City, South Dakota",47%
"Casper, Wyoming",47%
"Omaha, Nebraska",44%
"Chicago, Illinois",40%
"Providence, Rhode Island",37%
"Pittsburgh, Pennsylvania",33%
"Charleston, West Virginia",30%
"Boise, Idaho",30%
"St. Louis, Missouri",23%
"Huntington, West Virginia",23%
"Boston, Massachusetts",23%
"Newark, New Jersey",23%
"Topeka, Kansas",23%
"Concord, New Hampshire",23%
"New York City, New York",22%
"Reno, Nevada",20%
"Annette Island, Alaska",17%
"Wilmington, Delaware",13%
"Louisville, Kentucky",13%
"Indianapolis, Indiana",13%
"Nashville, Tennessee",12%
"Philadelphia, Pennsylvania",10%
"Seattle, Washington",8%
"Amarillo, Texas",7%
"Dallas, Texas",7%
"Richmond, Virginia",7%
"Washington, D.C.",5%
"Charlotte, North Carolina",5%
"Little Rock, Arkansas",3%
"Oklahoma City, Oklahoma",3%
"Albuquerque, New Mexico",3%
"Phoenix, Arizona",1%
"Portland, Oregon",1%
"Savannah, Georgia",1%
"Charleston, South Carolina",1%
"Los Angeles, California",1%
"Honolulu, Hawaii",0%
