Month,Unemployment rate
Oct 20,4.9%
Sep 20,4.8%
Aug 20,4.5%
Jul 20,4.3%
Jun 20,4.1%
May 20,4.1%
Apr 20,4%
Mar 20,4%
Feb 20,4%
Jan 20,3.9%
Dec 19,3.8%
Nov 19,3.8%
Oct 19,3.8%
Sep 19,3.8%
Aug 19,3.9%
Jul 19,3.8%
Jun 19,3.9%
May 19,3.8%
Apr 19,3.8%
Mar 19,3.8%
Feb 19,3.9%
Jan 19,3.9%
Dec 18,4%
Nov 18,4%
Oct 18,4.1%
Sep 18,4.1%
Aug 18,4%
Jul 18,4%
Jun 18,4%
May 18,4.2%
Apr 18,4.2%
Mar 18,4.2%
Feb 18,4.2%
Jan 18,4.3%
Dec 17,4.4%
Nov 17,4.3%
Oct 17,4.2%
Sep 17,4.3%
Aug 17,4.3%
Jul 17,4.3%
Jun 17,4.4%
May 17,4.4%
Apr 17,4.5%
Mar 17,4.6%
Feb 17,4.6%
Jan 17,4.7%
Dec 16,4.7%
Nov 16,4.8%
Oct 16,4.8%
Sep 16,4.8%
Aug 16,5%
Jul 16,4.9%
Jun 16,4.9%
May 16,4.9%
Apr 16,5%
Mar 16,5.1%
Feb 16,5.1%
Jan 16,5.1%
Dec 15,5.1%
Nov 15,5.1%
Oct 15,5.2%
Sep 15,5.3%
Aug 15,5.4%
Jul 15,5.5%
Jun 15,5.6%
May 15,5.6%
Apr 15,5.5%
Mar 15,5.5%
Feb 15,5.6%
Jan 15,5.7%
Dec 14,5.7%
Nov 14,5.9%
Oct 14,6%
Sep 14,6%
Aug 14,6%
Jul 14,6.1%
Jun 14,6.3%
May 14,6.4%
Apr 14,6.6%
Mar 14,6.8%
Feb 14,6.9%
Jan 14,7.2%
Dec 13,7.2%
Nov 13,7.2%
Oct 13,7.4%
Sep 13,7.6%
Aug 13,7.7%
Jul 13,7.7%
Jun 13,7.7%
May 13,7.8%
Apr 13,7.8%
Mar 13,7.8%
Feb 13,8%
Jan 13,7.8%
Dec 12,7.8%
Nov 12,7.8%
Oct 12,7.9%
Sep 12,7.9%
Aug 12,7.9%
Jul 12,8%
Jun 12,8%
May 12,8.1%
Apr 12,8.2%
Mar 12,8.2%
Feb 12,8.3%
Jan 12,8.4%
Dec 11,8.4%
Nov 11,8.5%
Oct 11,8.4%
Sep 11,8.3%
Aug 11,8.2%
Jul 11,8%
Jun 11,7.9%
May 11,7.8%
Apr 11,7.7%
Mar 11,7.8%
Feb 11,7.8%
Jan 11,7.9%
Dec 10,7.9%
Nov 10,7.9%
Oct 10,7.9%
Sep 10,7.8%
Aug 10,7.8%
Jul 10,7.8%
Jun 10,7.9%
May 10,7.9%
Apr 10,8%
Mar 10,8%
Feb 10,7.9%
Jan 10,7.7%
Dec 09,7.8%
Nov 09,7.8%
Oct 09,7.9%
Sep 09,7.8%
Aug 09,7.9%
Jul 09,7.9%
Jun 09,7.8%
May 09,7.6%
Apr 09,7.3%
Mar 09,7.1%
Feb 09,6.7%
Jan 09,6.5%
Dec 08,6.4%
Nov 08,6.2%
Oct 08,6%
Sep 08,5.9%
Aug 08,5.7%
Jul 08,5.5%
Jun 08,5.4%
May 08,5.2%
Apr 08,5.3%
Mar 08,5.2%
Feb 08,5.2%
Jan 08,5.2%
Dec 07,5.2%
Nov 07,5.2%
Oct 07,5.2%
Sep 07,5.3%
Aug 07,5.3%
Jul 07,5.3%
Jun 07,5.4%
May 07,5.4%
Apr 07,5.5%
Mar 07,5.5%
Feb 07,5.5%
Jan 07,5.5%
Dec 06,5.5%
Nov 06,5.4%
Oct 06,5.5%
Sep 06,5.5%
Aug 06,5.5%
Jul 06,5.5%
Jun 06,5.5%
May 06,5.4%
Apr 06,5.3%
Mar 06,5.2%
Feb 06,5.2%
Jan 06,5.1%
Dec 05,5.1%
Nov 05,5.1%
Oct 05,4.9%
Sep 05,4.7%
Aug 05,4.7%
Jul 05,4.7%
Jun 05,4.8%
May 05,4.8%
Apr 05,4.7%
Mar 05,4.7%
Feb 05,4.8%
Jan 05,4.7%
Dec 04,4.7%
Nov 04,4.7%
Oct 04,4.7%
Sep 04,4.7%
Aug 04,4.7%
Jul 04,4.8%
Jun 04,4.8%
May 04,4.8%
Apr 04,4.8%
Mar 04,4.8%
Feb 04,4.8%
Jan 04,4.8%
Dec 03,4.9%
Nov 03,4.9%
Oct 03,5%
Sep 03,5%
Aug 03,5.1%
Jul 03,5.1%
Jun 03,4.9%
May 03,5%
Apr 03,5.1%
Mar 03,5.2%
Feb 03,5.1%
Jan 03,5%
Dec 02,5.1%
Nov 02,5.2%
Oct 02,5.2%
Sep 02,5.3%
Aug 02,5.2%
Jul 02,5.2%
Jun 02,5.2%
May 02,5.2%
Apr 02,5.2%
Mar 02,5.2%
Feb 02,5.1%
Jan 02,5.2%
Dec 01,5.2%
Nov 01,5.1%
Oct 01,5.1%
Sep 01,5.1%
Aug 01,5.1%
Jul 01,5%
Jun 01,5%
May 01,4.9%
Apr 01,5%
Mar 01,5.1%
Feb 01,5.2%
Jan 01,5.2%
