State,Number of green card recipients
California,193093
New York,124026
Florida,118140
Texas,107955
New Jersey,48754
Illinois,37958
Massachusetts,30834
Georgia,27246
Washington,25570
Pennsylvania,25329
Virginia,24784
Maryland,22304
North Carolina,18419
Arizona,18181
Michigan,17414
Ohio,16467
Minnesota,13833
Colorado,13558
Nevada,11718
Connecticut,10630
Tennessee,9507
Indiana,8527
Oregon,8521
Wisconsin,7138
Missouri,6900
Utah,6838
Kentucky,6006
Iowa,5534
Kansas,5139
Louisiana,5116
Hawaii,4917
South Carolina,4675
Oklahoma,4642
Nebraska,4279
New Mexico,3736
Alabama,3669
Rhode Island,3445
Arkansas,2915
Puerto Rico,2555
District of Columbia,2398
Idaho,2312
Delaware,2084
New Hampshire,2046
Mississippi,1687
North Dakota,1494
Alaska,1374
Maine,1361
Other*,1295
South Dakota,1199
Guam,1011
West Virginia,817
Unknown,812
Vermont,648
Montana,545
Wyoming,410
