Month,Number of viewers in thousands
December 2020,129.55
November 2020,168.3
October 2020,230.98
September 2020,187.49
August 2020,191.69
July 2020,181.98
June 2020,198.96
May 2020,171.58
April 2020,188.8
March 2020,166.21
February 2020,174.83
January 2020,134.03
December 2019,105.82
November 2019,132.22
October 2019,169.66
September 2019,107.74
August 2019,115.7
July 2019,91.7
June 2019,123.81
May 2019,138.19
April 2019,128.39
March 2019,145.8
February 2019,141.42
January 2019,133.15
December 2018,96.84
November 2018,117.31
October 2018,146.66
September 2018,106.34
August 2018,109.27
July 2018,102.06
June 2018,100.63
May 2018,110.28
April 2018,103.17
March 2018,119.36
February 2018,120.72
January 2018,119.64
