Year,GDP per capita in U.S. dollars
2025,650.07
2024,617.75
2023,586.26
2022,554.25
2021,521.75
2020,480.49
2019,479.86
2018,488.59
2017,450.74
2016,402.05
2015,377.48
2014,403.23
2013,329.44
2012,480.05
2011,495.04
2010,456.56
2009,464.51
2008,474.39
2007,413.35
2006,362.23
2005,337.64
2004,322.8
2003,289.84
2002,255.65
2001,242.27
2000,243.23
1999,290.99
1998,296.1
1997,285.8
1996,298.44
1995,340.99
1994,268.11
1993,418.92
1992,489.79
1991,502.9
1990,539.66
1989,474.88
1988,490.94
1987,465.18
1986,431.34
1985,340.23
