Response,Share of responding businesses
"Professional services (e.g., financial services, consulting, travel agents, business services)",13%
Other,13%
"Personal services (e.g. beauty and wellness, repair of household goods)",13%
"Arts, entertainment or recreation (e.g., museum, creative arts, sports club)",11%
Retail or wholesale (incl. online shops),10%
"Media, communication or information (e.g., broadcasting, telecoms, computer programming)",8%
"Accommodation (e.g., hotels, camping grounds)",7%
Construction or home repair,5%
Non-profit/charity organization,5%
"Healthcare (e.g., dentist, senior care)",4%
Restaurant/café or other food services,4%
Automotive repair or services,3%
"Education (e.g., schools, tutoring, driving school)",2%
"Real estate (e.g., brokerage, leasing, management)",1%
Manufacturing,1%
"Transportation or storage (e.g., taxi, warehousing)",0%
