State,Number of employed persons in thousands
California,18627
Texas,13552
Florida,10016
New York,9138
Pennsylvania,6208
Illinois,6191
Ohio,5564
Georgia,4935
North Carolina,4884
Michigan,4736
New Jersey,4333
Virginia,4289
Washington,3748
Massachusetts,3707
Arizona,3385
Indiana,3275
Tennessee,3232
Maryland,3144
Colorado,3062
Minnesota,3009
Wisconsin,3001
Missouri,2982
South Carolina,2308
Alabama,2174
Oregon,2025
Louisiana,1994
Kentucky,1984
Connecticut,1842
Oklahoma,1781
Iowa,1691
Utah,1566
Nevada,1482
Kansas,1440
Arkansas,1314
Mississippi,1207
Nebraska,1004
New Mexico,908
Idaho,856
West Virginia,758
New Hampshire,754
Maine,672
Hawaii,647
Rhode Island,536
Montana,515
Delaware,469
South Dakota,449
North Dakota,394
District of Columbia,387
Vermont,334
Alaska,326
Wyoming,282
