State,Voter turnout rate
United States,66.7%
Minnesota,80%
Colorado,76.4%
Maine,76.3%
Wisconsin,75.8%
Washington,75.7%
Oregon,75.5%
New Hampshire,75.5%
New Jersey,75.3%
Vermont,74.2%
Michigan,73.9%
Iowa,73.2%
Montana,73.1%
Virginia,73%
Massachusetts,72.1%
Florida,71.7%
Connecticut,71.5%
North Carolina,71.5%
Pennsylvania,71%
Delaware,70.7%
Maryland,70.7%
Nebraska,69.9%
Utah,69.2%
Alaska,68.8%
California,68.5%
Georgia,67.7%
Idaho,67.7%
Ohio,67.4%
Illinois,67%
Missouri,66.3%
South Dakota,66%
Arizona,65.9%
Kansas,65.9%
Rhode Island,65.7%
Nevada,65.4%
Kentucky,64.9%
Louisiana,64.6%
Wyoming,64.6%
South Carolina,64.5%
North Dakota,64.5%
District of Columbia,64.1%
New York,63.4%
Alabama,63.1%
Indiana,61.4%
New Mexico,61.3%
Texas,60.4%
Mississippi,60.2%
Tennessee,59.8%
West Virginia,57.6%
Hawaii,57.5%
Arkansas,56.1%
Oklahoma,55%
