Response,Share of respondents
Provide sanitizers,30%
School closures,22%
Share information,19%
Remote work,18%
Increase hygiene,16%
"Prevention guidelines (hugs, greetings)",14%
Use of protection material,9%
Meeting cancelation/ban,8%
Changes in action protocols (fingerprint registration),5%
Increase distance between peers,5%
Company closure,4%
Business trip cancelations,4%
Visiting restrictions,3%
Flexible schedule,2%
Prevention/protocol for people with symptoms,2%
Move holidays forward,2%
Minimize services and staff,2%
Service cancelation,1%
Temperature control,1%
None,1%
