Year,GDP per capita in U.S. dollars
2025*,6320.22
2024*,6070.66
2023*,5814.02
2022*,5634.56
2021*,5235.79
2020*,4735.75
2019,5977.95
2018,6353.85
2017,6119.89
2016,5266.88
2015,5731.73
2014,6429.83
2013,6907.6
2012,7574.43
2011,8083.13
2010,7380.62
2009,5926.4
2008,5802.37
2007,6123.96
2006,5638.68
2005,5412.94
2004,4868.7
2003,3772.06
2002,2520.59
2001,2667.88
2000,3039.04
1999,3087.27
1998,3159.4
1997,3555.7
1996,3499.21
1995,3752.37
1994,3446.84
1993,3390.85
1992,3481.42
1991,3289.04
1990,3140.34
1989,2753.51
1988,2704.74
1987,2570.27
1986,2003.02
1985,1792.07
