place of contraction,Number of cases
"Marion Correctional Institution — Marion, Ohio",2197
"Pickaway Correctional Institution — Scioto Township, Ohio",1644
"Smithfield Foods pork processing facility — Sioux Falls, S.D.",1033
Aboard the U.S.S. Theodore Roosevelt — Guam,856
"Cook County jail — Chicago, Ill.",812
"Cummins Unit prison — Grady, Ark.",695
"Lakeland Correctional Facility — Coldwater, Mich.",673
"Bledsoe County Correctional Complex — Pikeville, Tenn.",576
"Neuse Correctional Institution — Goldsboro, N.C.",457
"Harris County jail — Houston, Texas",267
"Parnall Correctional Facility — Jackson, Mich.",240
"JBS USA meatpacking plant — Grand Island, Neb.",230
"Louisiana Correctional Institute for Women — St. Gabriel, La.",198
"Stateville Correctional Center — Crest Hill, Ill.",196
"Franklin Medical Center prison hospital — Columbus, Ohio",181
"Tyson Foods meatpacking plant — Waterloo, Iowa",180
"Soldiers' Home — Holyoke, Mass.",179
"Paramus Veterans Memorial Home — Paramus, N.J.",171
"Tyson Foods meatpacking plant — Columbus Junction, Iowa",166
"Lincoln Park Care Center — Lincoln Park, N.J.",163
"Gallatin Center for Rehabilitation and Healing — Gallatin, Tenn.",162
"Westville Correctional Facility — Westville, Ind.",154
"Hackensack Meridian Health nursing home — West Caldwell, N.J.",151
"JBS pork production facility — Worthington, Minn.",151
"Sterling Correctional Facility — Sterling, Colo.",148
"Andover Subacute and Rehabilitation Center II — Andover, N.J.",144
"George Beto Unit prison — Tennessee Colony, Texas",143
"Redwood Springs nursing home — Visalia, Calif.",137
"Canterbury Rehabilitation and Healthcare Center — Henrico, Va.",128
"LM Wind Power factory — Grand Forks, N.D.",128
"Life Care Center — Kirkland, Wash.",128
"Riverbend Post Acute Rehabilitation — Kansas City, Kan.",128
"Ludeman Developmental Center — Park Forest, Ill.",126
"Lansing Correctional Facility — Lansing, Kan.",123
"Northern State Prison — Newark, N.J.",121
"Bergen New Bridge Medical Center — Paramus, N.J.",120
"Local community — New Rochelle, N.Y.",119
"JFK Hartwyck nursing home — Edison, N.J.",118
"Northern Correctional Institution — Somers, Conn.",118
"Central Detention Facility — Washington, District",116
"G. Robert Cotton Correctional Facility — Jackson, Mich.",114
