Country,Number of cases
Brazil,7733746
Colombia,1675820
Argentina,1640718
Mexico,1448755
Peru,1018099
Chile,618191
Panama,253736
Ecuador,214614
Dominican Republic,173331
Costa Rica,169321
Bolivia,162661
Guatemala,138475
Honduras,123369
Venezuela,114230
Paraguay,109073
El Salvador,47087
Uruguay,20823
Jamaica,13049
Cuba,12424
Belize,10901
Haiti,10127
Bahamas,7914
Trinidad and Tobago,7168
Suriname,6393
Guyana,6358
Nicaragua,6046
Barbados,556
Saint Lucia,353
Antigua and Barbuda,160
Grenada,127
Saint Vincent and the Grenadines,124
Dominica,88
Saint Kitts and Nevis,33
