business,Number of employees
Rema 1000 AS,309900
Wurth Norge AS,77080
Aker ASA,19979
Attendo Omsorg AS,18269
Equinor ASA,18000
Posten Norge AS,15021
Strawberry Holding AS,14734
Aker Solutions ASA,14705
Tallyman AS,14085
Kongsberg Automotive ASA,11401
Vygruppen AS,11160
Hospitality Invest AS,10335
DNB ASA,9638
SKANDINAVISKA ENSKILDA BANKEN AB (PUBL) OSLOFILIALEN,9421
Veidekke ASA,8568
Neopost Norge AS,5546
Odd Reitan Private Holding AS,5225
Oasen Bibelsenter,4914
"Folkeaksjonen Oljefritt Lofoten, Vesterålen og Senja",4542
Sporveien AS,3813
