Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",43.73
Manufacturing,33.95
Professional and business services,29.16
Government and government enterprises,26.71
"Educational services, health care, and social assistance",21.17
Retail trade,12.1
Wholesale trade,11.76
Information,10.44
"Arts, entertainment, recreation, accommodation, and food services",8.98
Construction,8.93
Transportation and warehousing,6.05
"Agriculture, forestry, fishing, and hunting",5.38
Utilities,2.56
"Mining, quarrying, and oil and gas extraction",0.3
