Month,Number of new cases
"Nov 29, 2020",8
"Nov 28, 2020",132
"Nov 27, 2020",398
"Nov 26, 2020",432
"Nov 25, 2020",485
"Nov 24, 2020",382
"Nov 23, 2020",566
"Nov 22, 2020",260
"Nov 21, 2020",278
"Nov 20, 2020",495
"Nov 19, 2020",538
"Nov 18, 2020",615
"Nov 17, 2020",587
"Nov 16, 2020",659
"Nov 15, 2020",384
"Nov 14, 2020",360
"Nov 13, 2020",663
"Nov 12, 2020",608
"Nov 11, 2020",629
"Nov 10, 2020",576
"Nov 9, 2020",659
"Nov 8, 2020",360
"Nov 7, 2020",369
"Nov 6, 2020",618
"Nov 5, 2020",553
"Nov 4, 2020",655
"Nov 3, 2020",642
"Nov 2, 2020",634
"Nov 1, 2020",309
"Oct 31, 2020",378
"Oct 30, 2020",603
"Oct 29, 2020",422
"Oct 28, 2020",521
"Oct 27, 2020",378
"Oct 26, 2020",457
"Oct 25, 2020",189
"Oct 24, 2020",229
"Oct 23, 2020",362
"Oct 22, 2020",268
"Oct 21, 2020",225
"Oct 20, 2020",180
"Oct 19, 2020",208
"Oct 18, 2020",91
"Oct 17, 2020",81
"Oct 16, 2020",133
"Oct 15, 2020",141
"Oct 14, 2020",162
"Oct 13, 2020",155
"Oct 12, 2020",165
"Oct 11, 2020",79
"Oct 10, 2020",65
"Oct 9, 2020",141
"Oct 8, 2020",168
"Oct 7, 2020",200
"Oct 6, 2020",198
"Oct 5, 2020",207
"Oct 4, 2020",88
"Oct 3, 2020",110
"Oct 2, 2020",134
"Oct 1, 2020",131
"Sep 30, 2020",118
"Sep 29, 2020",110
"Sep 28, 2020",124
"Sep 27, 2020",54
"Sep 26, 2020",62
"Sep 25, 2020",130
"Sep 24, 2020",133
"Sep 23, 2020",143
"Sep 22, 2020",101
"Sep 21, 2020",163
"Sep 20, 2020",77
"Sep 19, 2020",58
"Sep 18, 2020",94
"Sep 17, 2020",116
"Sep 16, 2020",137
"Sep 15, 2020",132
"Sep 14, 2020",103
"Sep 13, 2020",78
"Sep 12, 2020",67
"Sep 11, 2020",118
"Sep 10, 2020",132
"Sep 9, 2020",124
"Sep 8, 2020",113
"Sep 7, 2020",132
"Sep 6, 2020",60
"Sep 5, 2020",73
"Sep 4, 2020",119
"Sep 3, 2020",126
"Sep 2, 2020",101
"Sep 1, 2020",115
"Aug 31, 2020",148
"Aug 30, 2020",51
"Aug 29, 2020",41
"Aug 28, 2020",84
"Aug 27, 2020",51
"Aug 26, 2020",40
"Aug 25, 2020",42
"Aug 24, 2020",67
"Aug 23, 2020",19
"Aug 22, 2020",45
"Aug 21, 2020",53
"Aug 20, 2020",50
"Aug 19, 2020",60
"Aug 18, 2020",57
"Aug 17, 2020",74
"Aug 16, 2020",27
"Aug 15, 2020",43
"Aug 14, 2020",76
"Aug 13, 2020",54
"Aug 12, 2020",63
"Aug 11, 2020",42
"Aug 10, 2020",63
"Aug 9, 2020",34
"Aug 8, 2020",35
"Aug 7, 2020",79
"Aug 6, 2020",78
"Aug 5, 2020",66
"Aug 4, 2020",40
"Aug 3, 2020",38
"Aug 2, 2020",13
"Aug 1, 2020",13
"Jul 31, 2020",72
"Jul 30, 2020",23
"Jul 29, 2020",37
"Jul 28, 2020",16
"Jul 27, 2020",24
"Jul 26, 2020",9
"Jul 25, 2020",6
"Jul 24, 2020",24
"Jul 23, 2020",6
"Jul 22, 2020",22
"Jul 21, 2020",6
"Jul 20, 2020",21
"Jul 19, 2020",3
"Jul 18, 2020",1
"Jul 17, 2020",12
"Jul 16, 2020",4
"Jul 15, 2020",6
"Jul 14, 2020",8
"Jul 13, 2020",19
"Jul 12, 2020",5
"Jul 11, 2020",4
"Jul 10, 2020",13
"Jul 09, 2020",8
"Jul 08, 2020",11
"Jul 07, 2020",10
"Jul 06, 2020",14
"Jul 05, 2020",1
"Jul 04, 2020",2
"Jul 03, 2020",10
"Jul 02, 2020",8
"Jul 01, 2020",8
"Jun 30, 2020",10
"Jun 29, 2020",26
"Jun 28, 2020",1
"Jun 27, 2020",10
"Jun 26, 2020",22
"Jun 25, 2020",17
"Jun 24, 2020",21
"Jun 23, 2020",13
"Jun 22, 2020",27
"Jun 21, 2020",4
"Jun 20, 2020",6
"Jun 19, 2020",18
"Jun 18, 2020",13
"Jun 17, 2020",15
"Jun 16, 2020",36
"Jun 15, 2020",18
"Jun 14, 2020",6
"Jun 13, 2020",7
"Jun 12, 2020",13
"Jun 11, 2020",11
"Jun 10, 2020",14
"Jun 09, 2020",13
"Jun 08, 2020",18
"Jun 07, 2020",9
"Jun 06, 2020",8
"Jun 05, 2020",30
"Jun 04, 2020",17
"Jun 03, 2020",12
"Jun 02, 2020",31
"Jun 01, 2020",7
"May 31, 2020",6
"May 30, 2020",0
"May 29, 2020",16
"May 28, 2020",16
"May 27, 2020",18
"May 26, 2020",12
"May 25, 2020",18
"May 24, 2020",6
"May 23, 2020",6
"May 22, 2020",26
"May 21, 2020",14
"May 20, 2020",19
"May 19, 2020",20
"May 18, 2020",17
"May 17, 2020",3
"May 16, 2020",13
"May 15, 2020",21
"May 14, 2020",23
"May 13, 2020",19
"May 12, 2020",19
"May 11, 2020",23
"May 10, 2020",12
"May 09, 2020",11
"May 08, 2020",41
"May 07, 2020",29
"May 06, 2020",39
"May 05, 2020",43
"May 04, 2020",45
"May 03, 2020",44
"May 02, 2020",23
"May 01, 2020",43
"Apr 30, 2020",39
"Apr 29, 2020",39
"Apr 28, 2020",50
"Apr 27, 2020",71
"Apr 26, 2020",37
"Apr 25, 2020",25
"Apr 24, 2020",54
"Apr 23, 2020",69
"Apr 22, 2020",77
"Apr 21, 2020",78
"Apr 20, 2020",84
"Apr 19, 2020",36
"Apr 18, 2020",49
"Apr 17, 2020",108
"Apr 16, 2020",80
"Apr 15, 2020",104
"Apr 14, 2020",122
"Apr 13, 2020",77
"Apr 12, 2020",76
"Apr 11, 2020",109
"Apr 10, 2020",68
"Apr 09, 2020",103
"Apr 08, 2020",106
"Apr 07, 2020",140
"Apr 06, 2020",158
"Apr 05, 2020",72
"Apr 04, 2020",88
"Apr 03, 2020",164
"Apr 02, 2020",198
"Apr 01, 2020",198
"Mar 31, 2020",208
"Mar 30, 2020",264
"Mar 29, 2020",106
"Mar 28, 2020",166
"Mar 27, 2020",262
"Mar 26, 2020",297
"Mar 25, 2020",292
"Mar 24, 2020",313
"Mar 23, 2020",297
"Mar 22, 2020",148
"Mar 21, 2020",174
"Mar 20, 2020",308
"Mar 19, 2020",239
"Mar 18, 2020",213
"Mar 17, 2020",176
"Mar 16, 2020",180
"Mar 15, 2020",99
"Mar 14, 2020",100
"Mar 13, 2020",147
"Mar 12, 2020",206
"Mar 11, 2020",175
"Mar 10, 2020",241
"Mar 09, 2020",247
"Mar 08, 2020",65
"Mar 07, 2020",20
"Mar 06, 2020",24
"Mar 05, 2020",33
"Mar 04, 2020",33
"Mar 03, 2020",31
"Mar 02, 2020",12
"Mar 01, 2020",10
"Feb 29, 2020",6
"Feb 28, 2020",9
"Feb 27, 2020",2
"Feb 26, 2020",3
"Feb 25, 2020",0
"Feb 24, 2020",0
"Feb 23, 2020",0
"Feb 22, 2020",0
"Feb 21, 2020",1
