State,Share enrolled
Massachusetts,51.2%
Rhode Island,50.2%
Vermont,48.3%
Michigan,47.7%
Nebraska,47.3%
North Dakota,46.8%
Connecticut,46.5%
Minnesota,46.4%
Pennsylvania,46.4%
New York,46.1%
Iowa,46%
New Jersey,45.7%
Utah,44.9%
Illinois,44.7%
California,44.5%
Ohio,44.3%
Wisconsin,44.2%
Delaware,44.1%
New Hampshire,43.9%
Florida,43.6%
South Dakota,43.2%
District of Columbia,43.1%
Maryland,43%
Kansas,42.8%
Indiana,42.8%
Colorado,42.5%
U.S. Average,42.4%
Maine,42%
Missouri,41.3%
Oregon,41.2%
West Virginia,41.1%
Virginia,40.6%
North Carolina,40.2%
Alabama,40%
Mississippi,39.9%
South Carolina,39.9%
New Mexico,39.3%
Georgia,38.9%
Montana,38.8%
Arkansas,37.8%
Oklahoma,37.7%
Texas,37.6%
Tennessee,37.5%
Idaho,37.2%
Washington,37.2%
Wyoming,36.7%
Hawaii,36.7%
Louisiana,36.5%
Arizona,35.8%
Kentucky,35.4%
Alaska,30.9%
Nevada,29.9%
