Country,Increase in life expectancy at birth in years
Turkey,23.9
India,21.2
Korea,20.4
Chile,17.9
China,17.4
Brazil,16.5
Indonesia,14.8
Portugal,14.8
Mexico,14.5
Colombia,13.7
Costa Rica,13.7
Luxembourg,12.5
Slovenia,12.4
Japan,12.2
Australia,11.8
Austria,11.7
Spain,11.4
Ireland,11.0
Italy,11.0
Finland,10.9
Israel,10.8
OECD36,10.6
Belgium,10.5
Switzerland,10.5
Germany,10.5
France,10.4
New Zealand,10.4
Czech Republic,9.5
United Kingdom,9.4
Canada,9.1
Iceland,8.7
Norway,8.3
Estonia,8.2
Netherlands,8.1
Poland,7.9
Denmark,7.9
Sweden,7.7
United States,7.7
Greece,7.6
South Africa,7.4
Slovak Republic,7.3
Hungary,6.7
Lithuania,4.7
Russian Federation,4.3
Latvia,4.2
