Response,Share of responding businesses
Retail or wholesale (incl. online shops),18%
Other,15%
"Media, communication or information (e.g., broadcasting, telecoms, computer programming)",14%
"Arts, entertainment or recreation (e.g., museum, creative arts, sports club)",9%
"Personal services (e.g. beauty and wellness, repair of household goods)",7%
Restaurant/café or other food services,7%
"Professional services (e.g., financial services, consulting, travel agents, business services)",7%
Construction or home repair,4%
"Healthcare (e.g., dentist, senior care)",4%
"Accommodation (e.g., hotels, camping grounds)",4%
"Education (e.g., schools, tutoring, driving school)",3%
Automotive repair or services,2%
"Real estate (e.g., brokerage, leasing, management)",1%
"Transportation or storage (e.g., taxi, warehousing)",1%
Non-profit/charity organization,1%
Manufacturing,1%
