Year,Gross domestic product in billion international dollars
2021*,4460.55
2020*,4160.93
2019,4443.57
2018,4342.91
2017,4176.04
2016,4000.24
2015,3872.88
2014,3767.35
2013,3618.63
2012,3540.98
2011,3459.55
2010,3261.15
2009,3094.11
2008,3256.21
2007,3163.47
2006,2991.7
2005,2797.11
2004,2693.01
2003,2591.67
2002,2562.55
2001,2527.73
2000,2432.41
1999,2312.06
1998,2236.97
1997,2168.3
1996,2094.06
1995,2039.8
1994,1967.58
1993,1881.39
1992,1855.95
1991,1780.33
1990,1639.91
1989,1495.17
1988,1384.58
1987,1289.26
1986,1239.92
1985,1186.76
1984,1125.7
