Response,Share of respondents
Oral sex,80.7%
Reciprocal masturbation,67%
Watch porno videos alone,61.2%
Usage of obscene language during sexual intercourse,46.9%
Sexting (sending pictures on smarthphones with explicit sexual content),37.5%
Anal sex,33.1%
Watch porno videos with the partner,25.2%
"Erotic play with objects, food, beverages",24.4%
Take pictures or videos during sexual intercourse,16.5%
Fantasize with the partner about other partners,16.5%
Sexual intercourse with three or more people,13.1%
Bondage/sadomasochism,12.5%
