Sectors,Revenue in thousand euros
Manufacturing of beverages,21796960
Manufacture of dairy products,19971106
Manufacturing of other food-goods,20904879
Manufacture of bakery and farinaceous products,19677558
Manufacturing and conservation of fruits and vegetables,11844879
Different manufacturing and production of fruits and vegetables,9592801
Manufacturing and production of oils and vegetable and animal fats,7638655
"Manufacturing of bread, fresh pastry goods and cakes",7745213
"Manufacture of of macaroni, noodles, couscous and similar farinaceous products",7746770
Manufacturing of oils and fats,6917439
"Manufacturing and production of cocoa, chocolate and sweets",7128361
"Manufacturing of soft drinks, production of mineral waters and bottled waters",5155390
Processing of tea and coffee,4711986
"Production of rusks and biscuits, manufacture of preserved pastry goods and cakes",4185575
Manufacturing and preserving of poultry meat,2671636
"Processing and preserving of fish, crustaceans and molluscs",2672407
Manufacturing of fruit and vegetable juice,1813030
Manufacture of prepared meals and dishes,1387979
Manufacture of homogenised food preparations and dietetic food,1269493
Manufacturing of condiments and seasoning,910841
Manufacturing of margarine and edible fats,721216
Manufacturing of sugar,252770
Manufacturing and conservation of meat and derivate products,24484285
