Year,GDP per capita in U.S. dollars
2025*,7054.6
2024*,6623.23
2023*,6217.29
2022*,5647.78
2021*,5160.77
2020*,4898.28
2019*,5323.19
2018,5284.44
2017,4542.76
2016,4124.41
2015,3953.61
2014,4584.92
2013,4422.67
2012,4248.81
2011,4438.93
2010,4098.13
2009,4130.93
2008,4377.04
2007,3594.1
2006,2975.62
2005,2673.73
2004,2373.58
2003,1846.12
2002,1425.13
2001,1283.57
2000,1127.64
1999,1032.26
1998,818.32
1997,717.38
1996,1009.97
1995,903.99
1994,736.03
1993,452.62
1992,259.75
1991,408.02
1990,675.74
1989,860.78
1988,805.05
1987,832.25
1986,855.72
1985,788.8
