Industry,Real value added in billion chained (2012) U.S. dollars
Professional and business services,103.94
"Finance, insurance, real estate, rental, and leasing",87.78
Government and government enterprises,85.35
Manufacturing,41.32
"Educational services, health care, and social assistance",36.52
Retail trade,26.34
Information,21.79
Wholesale trade,20.97
Construction,16.71
"Arts, entertainment, recreation, accommodation, and food services",15.11
Transportation and warehousing,12.38
Other services (except government and government enterprises),11.34
Utilities,6.94
"Agriculture, forestry, fishing, and hunting",2.27
"Mining, quarrying, and oil and gas extraction",1.74
