Month,Units sold
Dec 20,11479
Nov 20,10569
Oct 20,12946
Sep 20,28252
Aug 20,10843
Jul 20,18814
Jun 20,13622
May 20,2111
Apr 20,306
Mar 20,18996
Feb 20,8462
Jan 20,16377
Dec 19,15030
Nov 19,16238
Oct 19,16745
Sep 19,32522
Aug 19,10764
Jul 19,17049
Jun 19,22049
May 19,19892
Apr 19,18074
Mar 19,40755
Feb 19,10390
Jan 19,16629
Dec 18,16493
Nov 18,14666
Oct 18,16820
Sep 18,33326
Aug 18,11208
Jul 18,16028
Jun 18,22334
May 18,21136
Apr 18,20114
Mar 18,50257
Feb 18,12046
Jan 18,19654
Dec 17,15541
Nov 17,18095
Oct 17,19580
Sep 17,39696
Aug 17,9234
Jul 17,16934
Jun 17,27095
May 17,20514
Apr 17,16183
Mar 17,71837
Feb 17,9909
Jan 17,22778
