Year,GDP per capita in U.S. dollars
2025*,842.27
2024*,811.87
2023*,781.7
2022*,749.27
2021*,710.18
2020*,639.85
2019*,685.68
2018*,713.03
2017,671.18
2016,700.56
2015,776.11
2014,1241.0
2013,1180.37
2012,1155.53
2011,1162.47
2010,1046.89
2009,933.68
2008,1072.77
2007,915.12
2006,804.48
2005,739.41
2004,567.51
2003,360.74
2002,287.3
2001,252.59
2000,210.22
1999,238.56
1998,277.79
1997,252.17
1996,269.04
1995,248.07
1994,215.01
1993,271.78
1992,318.43
1991,312.82
1990,323.31
1989,274.97
1988,298.42
1987,261.66
1986,236.6
1985,196.95
