State,GDP in billion current U.S. dollars
California,3137.47
Texas,1886.96
New York,1731.91
Florida,1093.35
Illinois,897.12
Pennsylvania,813.51
Ohio,698.46
New Jersey,644.84
Georgia,616.33
Washington,599.61
Massachusetts,595.56
North Carolina,587.71
Virginia,554.21
Michigan,541.55
Maryland,428.34
Colorado,390.28
Minnesota,380.85
Tennessee,380.14
Indiana,377.1
Arizona,366.19
Wisconsin,347.31
Missouri,332.08
Connecticut,285.64
Louisiana,263.86
Oregon,251.6
South Carolina,246.31
Alabama,230.97
Kentucky,214.67
Oklahoma,206.06
Iowa,194.79
Utah,188.5
Nevada,177.61
Kansas,173.14
District of Columbia,146.19
Arkansas,133.18
Nebraska,127.04
Mississippi,118.78
New Mexico,104.0
Hawaii,97.28
New Hampshire,88.6
Idaho,80.91
West Virginia,78.19
Delaware,75.42
Maine,67.52
Rhode Island,63.54
North Dakota,57.04
Alaska,55.41
South Dakota,53.31
Montana,52.17
Wyoming,39.65
Vermont,34.78
