Month,Number of cases
"Jan 6, 2021",145590
"Jan 5, 2021",144583
"Jan 4, 2021",143464
"Jan 3, 2021",142187
"Jan 2, 2021",140878
"Jan 1, 2021",139471
"Dec 31, 2020",138062
"Dec 30, 2020",136644
"Dec 29, 2020",135233
"Dec 28, 2020",133900
"Dec 27, 2020",132541
"Dec 26, 2020",131315
"Dec 25, 2020",130126
"Dec 24, 2020",128993
"Dec 23, 2020",127972
"Dec 22, 2020",127061
"Dec 21, 2020",126273
"Dec 20, 2020",125555
"Dec 19, 2020",124891
"Dec 18, 2020",124280
"Dec 17, 2020",123701
"Dec 16, 2020",123153
"Dec 15, 2020",122609
"Dec 14, 2020",122086
"Dec 13, 2020",121575
"Dec 12, 2020",121089
"Dec 11, 2020",120611
"Dec 10, 2020",120147
"Dec 9, 2020",119702
"Dec 8, 2020",119281
"Dec 7, 2020",118847
"Dec 6, 2020",118432
"Dec 5, 2020",118014
"Dec 4, 2020",117583
"Dec 3, 2020",117156
"Dec 2, 2020",116724
"Dec 1, 2020",116303
"Nov 30, 2020",115911
"Nov 29, 2020",115541
"Nov 28, 2020",115183
"Nov 27, 2020",114832
"Nov 26, 2020",114475
"Nov 25, 2020",114107
"Nov 24, 2020",113742
"Nov 23, 2020",113381
"Nov 22, 2020",113027
"Nov 21, 2020",112676
"Nov 20, 2020",112318
"Nov 19, 2020",111955
"Nov 18, 2020",111613
"Nov 17, 2020",111284
"Nov 16, 2020",111009
"Nov 15, 2020",110767
"Nov 14, 2020",110547
"Nov 13, 2020",110319
"Nov 12, 2020",110095
"Nov 11, 2020",109881
"Nov 10, 2020",109654
"Nov 9, 2020",109422
"Nov 8, 2020",109201
"Nov 7, 2020",108962
"Nov 6, 2020",108754
"Nov 5, 2020",108530
"Nov 4, 2020",108329
"Nov 3, 2020",108122
"Nov 2, 2020",107925
"Nov 1, 2020",107736
"Oct 31, 2020",107555
"Oct 30, 2020",107376
"Oct 29, 2020",107209
"Oct 28, 2020",107030
"Oct 27, 2020",106877
"Oct 26, 2020",106707
"Oct 25, 2020",106540
"Oct 24, 2020",106397
"Oct 23, 2020",106230
"Oct 22, 2020",106060
"Oct 21, 2020",105883
"Oct 20, 2020",105705
"Oct 19, 2020",105547
"Oct 18, 2020",105424
"Oct 17, 2020",105297
"Oct 16, 2020",105159
"Oct 15, 2020",105033
"Oct 14, 2020",104915
"Oct 13, 2020",104787
"Oct 12, 2020",104648
"Oct 11, 2020",104516
"Oct 10, 2020",104387
"Oct 9, 2020",104262
"Oct 8, 2020",104156
"Oct 7, 2020",104035
"Oct 6, 2020",103902
"Oct 5, 2020",103781
"Oct 4, 2020",103683
"Oct 3, 2020",103575
"Oct 2, 2020",103466
"Oct 1, 2020",103317
"Sep 30, 2020",103198
"Sep 29, 2020",103079
"Sep 28, 2020",102955
"Sep 27, 2020",102840
"Sep 26, 2020",102736
"Sep 25, 2020",102625
"Sep 24, 2020",102513
"Sep 23, 2020",102375
"Sep 22, 2020",102254
"Sep 21, 2020",102141
"Sep 20, 2020",102015
"Sep 19, 2020",101900
"Sep 18, 2020",101772
"Sep 17, 2020",101641
"Sep 16, 2020",101500
"Sep 15, 2020",101340
"Sep 14, 2020",101177
"Sep 13, 2020",101009
"Sep 12, 2020",100856
"Sep 11, 2020",100708
"Sep 10, 2020",100557
"Sep 9, 2020",100403
"Sep 8, 2020",100228
"Sep 7, 2020",100041
"Sep 6, 2020",99863
"Sep 5, 2020",99712
"Sep 4, 2020",99582
"Sep 3, 2020",99425
"Sep 2, 2020",99280
"Sep 1, 2020",99115
"Aug 31, 2020",98939
"Aug 30, 2020",98727
"Aug 29, 2020",98497
"Aug 28, 2020",98285
"Aug 27, 2020",98062
"Aug 26, 2020",97825
"Aug 25, 2020",97619
"Aug 24, 2020",97478
"Aug 23, 2020",97340
"Aug 22, 2020",97237
"Aug 21, 2020",97148
"Aug 20, 2020",97025
"Aug 19, 2020",96914
"Aug 18, 2020",96753
"Aug 17, 2020",96590
"Aug 16, 2020",96475
"Aug 15, 2020",96336
"Aug 14, 2020",96220
"Aug 13, 2020",96108
"Aug 12, 2020",95963
"Aug 11, 2020",95834
"Aug 10, 2020",95666
"Aug 9, 2020",95492
"Aug 8, 2020",95314
"Aug 7, 2020",95147
"Aug 6, 2020",95006
"Aug 5, 2020",94875
"Aug 4, 2020",94752
"Aug 3, 2020",94640
"Aug 2, 2020",94483
"Aug 1, 2020",94316
"Jul 31, 2020",94078
"Jul 30, 2020",93757
"Jul 29, 2020",93356
"Jul 28, 2020",92947
"Jul 27, 2020",92482
"Jul 26, 2020",92062
"Jul 25, 2020",91583
"Jul 24, 2020",91072
"Jul 23, 2020",90413
"Jul 22, 2020",89745
"Jul 21, 2020",89078
Jul 20. 2020,88402
"Jul 19, 2020",87775
"Jul 18, 2020",87172
"Jul 17, 2020",86474
"Jul 16, 2020",85771
"Jul 15, 2020",84843
"Jul 14, 2020",83930
"Jul 13, 2020",83001
"Jul 12, 2020",82070
"Jul 11, 2020",81158
"Jul 10, 2020",80235
"Jul 09, 2020",79254
"Jul 08, 2020",78304
"Jul 07, 2020",77279
"Jul 06, 2020",76222
"Jul 05, 2020",75253
"Jul 04, 2020",74035
"Jul 03, 2020",72711
"Jul 02, 2020",71299
"Jul 01, 2020",69814
"Jun 30, 2020",68311
"Jun 29, 2020",66754
"Jun 28, 2020",65188
"Jun 27, 2020",63923
"Jun 26, 2020",62755
"Jun 25, 2020",61130
"Jun 24, 2020",59561
"Jun 23, 2020",58141
"Jun 22, 2020",56809
"Jun 21, 2020",55233
"Jun 20, 2020",53758
"Jun 19, 2020",52211
"Jun 18, 2020",50437
"Jun 17, 2020",49219
"Jun 16, 2020",47856
"Jun 15, 2020",46289
"Jun 14, 2020",44598
"Jun 13, 2020",42980
"Jun 12, 2020",41303
"Jun 11, 2020",39726
