business schools,Total 5-year MBA gain in U.S. dollars
"Stanford - Palo Alto, CA",89100
"Harvard - Boston, MA",83500
"Northwestern (Kellogg) - Evanston, IL",72700
"Columbia - New York, NY",71100
"Dartmouth (Tuck) - Hanover, NH",68400
"Chicago (Booth) - Chicago, IL",65000
"Pennsylvania (Wharton) - Philadelphia, PA",64900
"UC Berkeley (Haas) - Berkeley, CA",64200
"MIT (Sloan) - Cambridge, MA",63800
"Cornell (Johnson) - Ithaca, NY",63500
"Yale - New Haven, CT",61000
"Duke (Fuqua) - Durham, NC",60600
"UNC (Kenan-Flagler) - Chapel Hill, NC",59900
"Texas-Austin (McCombs) - Austin, TX",59300
"Michigan (Ross) - Ann Arbor, MI",58900
"Virginia (Darden) - Charlottesville, VA",56600
"UCLA (Anderson) - Los Angeles, CA",56500
"NYU (Stern) - New York, NY",55900
"Carnegie Mellon (Tepper) - Pittsburgh, PA",55400
"Indiana (Kelley) - Bloomington, IN",53800
