profession,Number of employees
Retail salespersons,4209500
Cashiers,3439380
"Office clerks, general",2815240
"Combined food preparation and serving workers, including fast food",2695740
Registered nurses,2583770
Waiters and waitresses,2302070
Customer service representatives,2195860
"Laborers and freight, stock, and material movers, hand",2135790
"Janitors and cleaners, except maids and housekeeping cleaners",2090400
Stock clerks and order fillers,1864410
"Secretaries, except legal, medical, and executive",1797670
"Bookkeeping, accounting, and auditing clerks",1757870
General and operations managers,1689680
"Truck drivers, heavy and tractor-trailer",1550930
"Elementary school teachers, except special education",1544300
