Industry,Wage and salary in U.S. dollars
Management of companies and enterprises,137088
Information,130574
Utilities,117030
Finance and insurance,115557
Mining,110582
"Professional, scientific, and technical services",105907
Wholesale trade,84161
Manufacturing,72735
Government,70691
Real estate and rental and leasing,67561
Construction,67503
Wages and salaries per full-time equivalent employee,66778
Private industries,65374
Transportation and warehousing,60875
Health care and social assistance,57719
"Arts, entertainment, and recreation",52956
Educational services,50040
Administrative and waste management services,47470
"Other services, except government",46030
Retail trade,39457
"Agriculture, forestry, fishing, and hunting",36663
Accommodation and food services,31679
