Country,Points
USA,2181
Germany,2090
France,2036
Netherlands,2032
Sweden,2007
England,1999
Australia,1963
Brazil,1958
Canada,1958
Korea DPR,1940
Japan,1937
Norway,1930
Spain,1915
Italy,1889
China PR,1867
Denmark,1851
Belgium,1819
Korea Republic,1818
Iceland,1817
Switzerland,1815
Scotland,1804
Austria,1792
New Zealand,1757
Russia,1708
Colombia,1700
Ukraine,1692
Mexico,1686
Poland,1683
Czech Republic,1678
Finland,1671
Republic of Ireland,1666
Portugal,1659
Argentina,1659
Wales,1658
Vietnam,1657
Costa Rica,1644
Chile,1640
Nigeria,1614
Thailand,1596
Chinese Taipei,1589
Serbia,1558
Uzbekistan,1543
Hungary,1537
Romania,1535
Myanmar,1511
Papua New Guinea,1504
Slovakia,1501
Paraguay,1490
Slovenia,1471
Jamaica,1460
