Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",62.28
Manufacturing,50.22
Professional and business services,48.66
"Educational services, health care, and social assistance",36.34
Government and government enterprises,30.86
Wholesale trade,23.71
Retail trade,19.66
Information,13.97
Construction,11.69
"Arts, entertainment, recreation, accommodation, and food services",10.58
Transportation and warehousing,10.32
"Agriculture, forestry, fishing, and hunting",7.91
Other services (except government and government enterprises),6.73
Utilities,4.72
"Mining, quarrying, and oil and gas extraction",4.07
