State,Growth rate
Utah,3%
Arizona,2.8%
Idaho,2.8%
Nevada,2.5%
Texas,2.3%
Colorado,2.1%
Washington,2%
Florida,1.9%
North Carolina,1.9%
Tennessee,1.9%
Georgia,1.7%
South Carolina,1.6%
New Mexico,1.6%
Oregon,1.5%
California,1.5%
Alabama,1.4%
Wyoming,1.3%
Virginia,1.2%
Montana,1.1%
New York,1%
North Dakota,1%
Delaware,1%
Massachussets,1%
Pennsylvania,0.9%
New Hampshire,0.9%
New Jersey,0.9%
Maine,0.8%
Arkansas,0.8%
Oklahoma,0.8%
District of Columbia,0.7%
Missouri,0.6%
Maryland,0.6%
South Dakota,0.6%
Indiana,0.6%
Rhode Island,0.6%
Kansas,0.5%
Alaska,0.5%
Minnesota,0.5%
Mississippi,0.4%
Kentucky,0.4%
Ohio,0.4%
Michigan,0.3%
Illinois,0.3%
Nebraska,0.3%
Wisconsin,0.2%
Iowa,0.1%
Vermont,0%
Louisiana,0%
Connecticut,-0.2%
Hawaii,-0.4%
West Virginia,-0.9%
