Month,Money supply in billion GBP
Jun '20,2033.53
May '20,2019.7
Apr '20,1992.04
Mar '20,1953.44
Feb '20,1844.73
Jan '20,1823.23
Dec '19,1811.31
Nov '19,1801.57
Oct '19,1796.07
Sep '19,1793.08
Aug '19,1790.99
Jul '19,1778.88
Jun '19,1764.9
May '19,1763.47
Apr '19,1760.77
Mar '19,1762.56
Feb '19,1761.92
Jan '19,1766.26
Dec '18,1771.65
Nov '18,1772.87
Oct '18,1779.38
Sep '18,1752.42
Aug '18,1744.86
Jul '18,1739.31
Jun '18,1737.82
May '18,1732.2
Apr '18,1707.71
Mar '18,1704.56
Feb '18,1712.97
Jan '18,1712.61
Dec '17,1703.84
Nov '17,1696.49
Oct '17,1690.52
Sep '17,1690.58
Aug '17,1684.56
Jul '17,1665.09
Jun '17,1666.98
May '17,1661.42
Apr '17,1656.64
Mar '17,1650.8
Feb '17,1628.95
Jan '17,1616.98
Dec '16,1621.4
Nov '16,1607.57
Oct '16,1612.42
Sep '16,1603.89
Aug '16,1603.06
Jul '16,1593.92
Jun '16,1589.17
May '16,1527.93
Apr '16,1518.1
Mar '16,1520.13
Feb '16,1508.24
Jan '16,1483.12
