Month,Retail sales in thousand GBP
Sep 19,38801106
Aug 19,31295749
Jul 19,32547984
Jun 19,39419993
May 19,31259500
Apr 19,31325553
Mar 19,37793063
Feb 19,29029991
Jan 19,28315822
Dec 18,48612645
Nov 18,35323519
Oct 18,31256292
Sep 18,37598110
Aug 18,30471399
Jul 18,31462048
Jun 18,38083839
May 18,30649708
Apr 18,29275979
Mar 18,36078421
Feb 18,27966054
Jan 18,27398059
Dec 17,47665952
Nov 17,34159415
Oct 17,30597000
Sep 17,36510551
Aug 17,29491408
Jul 17,30244361
Jun 17,36981824
May 17,29475056
Apr 17,29717329
Mar 17,35048461
Feb 17,27509331
Jan 17,27014095
Dec 16,46947236
Nov 16,33690506
Oct 16,30582064
Sep 16,36013003
Aug 16,28864086
Jul 16,29937797
Jun 16,36030964
May 16,29181554
Apr 16,28258208
Mar 16,34599763
Feb 16,26770733
Jan 16,26820167
Dec 15,44133993
Nov 15,31826317
Oct 15,28549606
Sep 15,34653696
Aug 15,27190967
Jul 15,28354283
Jun 15,34989115
May 15,27685821
Apr 15,27148632
Mar 15,33770076
Feb 15,25843027
Jan 15,25699316
Dec 14,43406547
Nov 14,30579083
Oct 14,27550407
Sep 14,32755826
Aug 14,26437078
Jul 14,27368380
Jun 14,33746654
May 14,26612724
Apr 14,26579022
Mar 14,32108788
