Yacht/Year/Nationality/Crew,Length of trip in number of days
"Banque Populaire 52013 (2012, FRA, Crew)",45
"Groupama 3 (2010, FRA, Crew)",48
"Orange II (2005, FRA, Crew)",50
"IDEC (2008, FRA, Singlehanded)",57
"Cheyenne (2004, USA, Crew)",58
"Orange (2002, FRA, Crew)",64
"Sport Elec (1997, FRA, Crew)",71
"B&Q (2005, GBR, Singlehanded)",71
"IDEC (2004, FRA, Singlehanded)",72
"Enza (1994/95, NZL/GBR, Crew)",74
"Macif (2013, FRA, Singlehanded Monohull)",78
"Commodore Explorer (1993/94, FRA, Crew)",79
"Foncia (2009, FRA, Singlehanded Monohull)",84
"PRB (2005, FRA, Singlehanded Monohull)",87
"Ecureuil D’Aquitaine II (1989/90, FRA, Singlehanded Monohull)",109
"American Promise (1985/86, USA, Singlehanded)",150
"English Rose V (1983/84, GBR, 2 Handed)",193
"Suhaili (1968/69, GBR, Singlehanded)",313
