Response,Percentage of respondents
Robot and/or its contents could be stolen,27%
Might lead to less jobs for people,21%
Robot might malfunction & injure someone,8%
Other,7%
Robot and/or contents might be damaged by others,7%
Robot might malfunction & damage items being delivered,6%
Might not be able to interact with a delivery person when needed,5%
Robot might navigate to the wrong address,5%
Robot might malfunction & damage property,4%
Use might lead to too much traffic on sidewalks,4%
Interacting with the robot might be too complicated or confusing,3%
Might be used in a way that does not respect my privacy,3%
