Year,Number of cumulative cases
1/5/21,86405927
1/4/21,85672034
1/3/21,85122080
1/2/21,84586904
1/1/21,83963772
12/31/20,83424446
12/30/20,82708280
12/29/20,81951541
12/28/20,81285853
12/27/20,80797122
12/26/20,80364202
12/25/20,79851573
12/24/20,79384038
12/23/20,78712545
12/22/20,78020948
12/21/20,77374480
12/20/20,76832527
12/19/20,76298735
12/18/20,75682359
12/17/20,74964751
12/16/20,74228327
12/15/20,73494536
12/14/20,72870103
12/13/20,72345678
12/12/20,71797078
12/11/20,71174074
12/10/20,70475025
12/9/20,68980972
12/8/20,68311479
12/7/20,67673996
12/6/20,67158896
12/5/20,66619544
12/4/20,65976648
12/3/20,65295914
12/2/20,64603434
12/1/20,63956130
11/30/20,63347635
11/29/20,62842162
11/28/20,62355818
11/27/20,61757100
11/26/20,61086011
11/25/20,60501579
11/24/20,59865574
11/23/20,59276210
11/22/20,58757253
11/21/20,58268894
11/20/20,57680030
11/19/20,57012958
11/18/20,56361057
11/17/20,55734998
11/16/20,55127112
11/15/20,54596104
11/14/20,54121862
11/13/20,53526599
11/12/20,52875710
11/11/20,52228245
11/10/20,51580637
11/9/20,51022748
11/8/20,50520274
11/7/20,50040908
11/6/20,49442915
11/5/20,48799240
11/4/20,48203697
11/3/20,47693426
11/2/20,47140871
11/1/20,46579884
10/31/20,46117683
10/30/20,45641595
10/29/20,45071405
10/28/20,44521391
10/27/20,44010608
10/26/20,43541356
10/25/20,43055358
10/24/20,42694987
10/23/20,42238234
10/22/20,41742073
10/21/20,41269869
10/20/20,40825619
10/19/20,40436980
10/18/20,40050552
10/17/20,39733921
10/16/20,39361310
10/15/20,38950083
10/14/20,38543448
10/13/20,38161563
10/12/20,37842739
10/11/20,37551609
10/10/20,37264050
10/9/20,36907485
10/8/20,36547071
10/7/20,36185785
10/6/20,35835120
10/5/20,35509247
10/4/20,35208617
10/3/20,34946710
10/2/20,34614672
10/1/20,34317276
9/30/20,33999210
9/29/20,33671083
9/28/20,33389254
9/27/20,33135284
9/26/20,32883719
9/25/20,32595593
9/24/20,32265204
9/23/20,31912900
9/22/20,31637545
9/21/20,31353490
9/20/20,31077672
9/19/20,30825596
9/18/20,30533416
9/17/20,30207772
9/16/20,29892950
9/15/20,29588876
9/14/20,29303533
9/13/20,29040262
9/12/20,28797456
9/11/20,28510977
9/10/20,28189890
9/9/20,27889943
9/8/20,27605220
9/7/20,27363369
9/6/20,27145595
9/5/20,26914845
9/4/20,26644864
9/3/20,26331039
9/2/20,26049992
9/1/20,25766467
8/31/20,25501715
8/30/20,25239068
8/29/20,25017791
8/28/20,24751260
8/27/20,24467592
8/26/20,24183850
8/25/20,23899722
8/24/20,23655997
8/23/20,23430769
8/22/20,23224361
8/21/20,22959904
8/20/20,22698858
8/19/20,22426342
8/18/20,22146490
8/17/20,21888348
8/16/20,21680469
8/15/20,21464275
8/14/20,21216955
8/13/20,20913936
8/12/20,20624230
8/11/20,20346972
8/10/20,20090473
8/9/20,19863462
8/8/20,19638069
8/7/20,19379581
8/6/20,19098152
8/5/20,18812950
8/4/20,18536427
8/3/20,18280103
8/2/20,18074408
8/1/20,17842857
7/31/20,17593931
7/30/20,17302946
7/29/20,17022514
7/28/20,16731027
7/27/20,16479069
7/26/20,16253250
7/25/20,16040277
7/24/20,15785888
7/23/20,15504677
7/22/20,15221747
7/21/20,14940469
7/20/20,14707359
7/19/20,14500967
7/18/20,14287228
7/17/20,14050878
7/16/20,13808502
7/15/20,13556384
7/14/20,13324911
7/13/20,13103178
7/12/20,12912321
7/11/20,12719735
7/10/20,12502211
7/9/20,12269629
7/8/20,12042625
7/7/20,11828845
7/6/20,11617428
7/5/20,11452930
7/4/20,11269688
7/3/20,11075680
7/2/20,10874057
7/1/20,10665134
6/30/20,10447667
6/29/20,10273694
6/28/20,10119217
6/27/20,9955755
6/26/20,9778118
6/25/20,9586818
6/24/20,9408237
6/23/20,9237176
6/22/20,9071294
6/21/20,8932952
6/20/20,8804913
6/19/20,8648275
6/18/20,8468486
6/17/20,8328152
6/16/20,8184990
6/15/20,8043069
6/14/20,7923625
6/13/20,7791149
6/12/20,7655982
6/11/20,7527334
6/10/20,7389458
6/9/20,7254563
6/8/20,7129785
6/7/20,7027195
6/6/20,6915223
6/5/20,6781099
6/4/20,6649743
6/3/20,6519015
6/2/20,6404720
6/1/20,6283302
5/31/20,6187617
5/30/20,6080995
5/29/20,5944039
5/28/20,5822948
5/27/20,5704043
5/26/20,5601251
5/25/20,5507621
5/24/20,5420782
5/23/20,5326614
5/22/20,5221533
5/21/20,5114997
5/20/20,5008397
5/19/20,4906666
5/18/20,4809885
5/17/20,4720844
5/16/20,4643002
5/15/20,4548277
5/14/20,4452527
5/13/20,4356139
5/12/20,4271251
5/11/20,4187133
5/10/20,4110202
5/9/20,4034910
5/8/20,3950120
5/7/20,3859785
5/6/20,3771007
5/5/20,3681127
5/4/20,3600779
5/3/20,3523175
5/2/20,3446630
5/1/20,3367339
4/30/20,3279073
4/29/20,3195544
4/28/20,3118508
4/27/20,3043202
4/26/20,2973163
