Response,Share of respondents
Children can develop interest in additional activities,41%
"We don't lack money for food, bills, clothes",23%
"We can save money, which was impossible earlier",19%
We can afford more expensive products-we buy better products,18%
"We can afford a holiday, which was impossible eariler",16%
"We improved our living conditions (renovation, change of accommodation)",12%
"We can afford medicines, private healthcare, rehabilitation",10%
We could pay off a loan earlier,3%
The problems with paying installments ended,3%
We could pay off debts to our family or friends,3%
There was a possibility for parent/s to quit working,2%
Other,3%
I didn't notice any changes in the functioning of my household,28%
