Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",49.94
Professional and business services,40.91
Manufacturing,35.86
Government and government enterprises,32.71
"Educational services, health care, and social assistance",30.84
Wholesale trade,19.51
Retail trade,18.43
Information,13.11
"Arts, entertainment, recreation, accommodation, and food services",11.07
Transportation and warehousing,9.48
Construction,9.37
Other services (except government and government enterprises),6.45
Utilities,4.77
"Agriculture, forestry, fishing, and hunting",4.66
"Mining, quarrying, and oil and gas extraction",1.11
