Year,Gross domestic product in billion international dollars
2021*,1496.43
2020*,1427.43
2019,1391.27
2018,1295.43
2017,1200.81
2016,1132.45
2015,1074.15
2014,1018.55
2013,971.71
2012,924.43
2011,887.28
2010,854.05
2009,802.89
2008,761.24
2007,696.85
2006,633.7
2005,575.69
2004,534.4
2003,499.93
2002,475.63
2001,453.77
2000,428.91
1999,398.1
1998,369.84
1997,340.07
1996,315.63
1995,295.53
1994,277.04
1993,260.35
1992,247.15
1991,240.92
1990,228.25
1989,214.96
1988,200.84
1987,186.55
1986,174.59
1985,163.37
1984,147.41
