Scottish council area,"Estimated population (in 1,000 inhabitants)"
Glasgow City,633.12
City of Edinburgh,524.93
Fife,373.55
North Lanarkshire,341.37
South Lanarkshire,320.53
Aberdeenshire,261.21
Highland,235.83
Aberdeen City,228.67
West Lothian,183.1
Renfrewshire,179.1
Falkirk,160.89
Perth and Kinross,151.95
Dundee City,149.32
Dumfries and Galloway,148.86
North Ayrshire,134.74
East Ayrshire,122.01
Angus,116.2
Scottish Borders,115.51
South Ayrshire,112.61
East Dunbartonshire,108.64
East Lothian,107.09
Moray,95.82
East Renfrewshire,95.53
Stirling,94.21
Midlothian,92.46
West Dunbartonshire,88.93
Argyll and Bute,85.87
Inverclyde,77.8
Clackmannanshire,51.54
Na h-Eileanan Siar,26.72
Shetland Islands,22.92
Orkney Islands,22.27
