Month,Inflation rate
Jul '20,-1.2%
Jun '20,-1.5%
May '20,-1.3%
Apr '20,-1.2%
Mar '20,-1.6%
Feb '20,-1%
Jan '20,-1.1%
Dec '19,-0.9%
Nov '19,-1%
Oct '19,-1.1%
Sep '19,-0.8%
Aug '19,-0.3%
Jul '19,-0.5%
Jun '19,-0.1%
May '19,-0.2%
Apr '19,-0.1%
Mar '19,-0.6%
Feb '19,-0.7%
Jan '19,-1.5%
Dec '18,-1.4%
Nov '18,-2%
Oct '18,-2.2%
Sep '18,-2.2%
Aug '18,-2.6%
Jul '18,-2.1%
Jun '18,-2.1%
May '18,-2.3%
Apr '18,-2%
Mar '18,-1.8%
Feb '18,-1.8%
Jan '18,-1.7%
Dec '17,-1.5%
Nov '17,-1.2%
Oct '17,-1.2%
Sep '17,-2%
Aug '17,-1.7%
Jul '17,-2%
Jun '17,-2.7%
May '17,-2.2%
Apr '17,-2.7%
Mar '17,-2.6%
Feb '17,-2.6%
Jan '17,-2.4%
