Year,Percentage change q-o-q
2020 Q2,56.7%
2020 Q1,9%
2019 Q4,6.9%
2019 Q3,11.2%
2019 Q2,10.4%
2019 Q1,13.9%
2018 Q4,13%
2018 Q3,13.7%
2018 Q2,16.5%
2018 Q1,15.2%
2017 Q4,9.5%
2017 Q3,17.1%
2017 Q2,19.8%
2017 Q1,21.1%
2016 Q4,29.5%
2016 Q3,22.6%
2016 Q2,16.6%
2016 Q1,12.5%
2015 Q4,11.3%
2015 Q3,12.3%
2015 Q2,12.6%
2015 Q1,14.3%
2014 Q4,14%
2014 Q3,12.6%
2014 Q2,15.5%
2014 Q1,10.5%
2013 Q4,15.7%
2013 Q3,16.3%
2013 Q2,14.5%
2013 Q1,15.1%
2012 Q4,12.7%
2012 Q3,13.3%
2012 Q2,20.3%
2012 Q1,16.5%
2011 Q4,16%
2011 Q3,16.1%
2011 Q2,18.8%
2011 Q1,23.1%
2010 Q4,21.4%
2010 Q3,20.7%
2010 Q2,18%
2010 Q1,17.6%
2009 Q4,28.3%
2009 Q3,25.6%
2009 Q2,26.3%
2009 Q1,34.1%
2008 Q4,40.4%
2008 Q3,48.4%
2008 Q2,54.8%
2008 Q1,62.8%
