Refrigerated And Logisitic Company,Dry storage space in million square feet
DHL Supply Chain,139.0
XPO Logistics Inc,90.0
Ryder Supply Chain  Solutions,56.4
Geodis,44.0
NFI,49.6
FedEx Logistics,30.7
Kenco Logistics Services,26.0
CJ Logistics North America,24.9
Penske Logistics,24.6
DB Schenker USA,23.7
Saddle Creek Logistics Services,21.6
Kuehne `Nagel North America,18.7
Ceva Logistics,18.1
UPS Supply Chain Solutions,17.3
Warehouse Services Inc.,14.0
WSI,14.0
APL Logistics,12.7
Expeditors International of Washington,11.7
Radial,11.7
Universal Logistics Holdings,10.6
