Month,Number of players in thousands
Nov '20,101.61
Oct '20,130.55
Sep '20,86.58
Aug '20,96.58
Jul '20,89.65
Jun '20,79.95
May '20,85.74
Apr '20,88.12
Mar '20,85.15
Feb '20,78.39
Jan '20,76.74
Dec '19,103.48
Nov '19,69.87
Oct '19,73.47
Sept '19,64.64
Aug '19,64.52
Jul' 19,93.25
Jun '19,57.13
May '19,54.13
Apr '19,60.33
Mar '19,63.38
Feb '19,65.29
Jan '19,66.65
Dec '18,116.14
Nov '18,93.56
Oct '18,97.33
Sept '18,58.15
Aug '18,57.77
Jul '18,59.66
Jun '18,57.75
May '18,56.05
Aprl '18,58.29
Mar '18,57.37
Feb '18,69.2
Jan '18,72.85
Dec '17,71.12
Nov '17,84.02
Oct '17,97.25
Sept '17,73.41
Aug '17,69.17
Jul '17,66.95
Jun '17,69.9
May '17,73.19
Apr '17,72.62
Mar '17,74.66
Feb '17,77.38
Jan '17,77.41
Dec '16,71.44
Nov '16,77.06
Oct '16,81.15
Sept '16,74.8
Aug '16,72.11
Jul '16,72.64
Jun '16,72.45
May '16,77.97
Apr '16,81.21
Mar '16,83.43
Feb '16,83.54
Jan '16,80.58
