Month,Index**
May 20,136.9
Apr 20,107.4
Mar 20,125.9
Feb 20,128.3
Jan 20,138.4
Dec 19,211.9
Nov 19,193.0
Oct 19,152.4
Sep 19,138.4
Aug 19,128.8
Jul 19,144.3
Jun 19,150.6
May 19,137.4
Apr 19,136.0
Mar 19,130.8
Feb 19,110.6
Jan 19,139.5
Dec 18,214.0
Nov 18,195.0
Oct 18,145.4
Sep 18,131.1
Aug 18,119.1
Jul 18,127.5
Jun 18,127.6
May 18,129.0
Apr 18,117.3
Mar 18,116.5
Feb 18,98.8
Jan 18,125.7
Dec 17,188.7
Nov 17,163.7
Oct 17,127.7
Sep 17,110.4
Aug 17,106.4
Jul 17,109.9
Jun 17,107.4
May 17,104.0
Apr 17,94.3
Mar 17,102.9
Feb 17,89.1
Jan 17,106.5
Dec 16,156.6
Nov 16,141.6
Oct 16,107.2
Sep 16,88.4
Aug 16,87.1
Jul 16,92.9
Jun 16,91.5
May 16,91.7
Apr 16,85.9
Mar 16,81.7
Feb 16,76.5
Jan 16,94.3
Dec 15,144.7
Nov 15,128.5
Oct 15,100.0
Sep 15,89.4
Aug 15,89.8
Jul 15,84.7
Jun 15,92.0
May 15,81.3
Apr 15,82.3
Mar 15,79.3
Feb 15,67.8
Jan 15,85.8
Dec 14,131.3
Nov 14,108.1
Oct 14,86.5
Sep 14,82.1
Aug 14,79.7
Jul 14,79.9
Jun 14,78.5
May 14,79.9
Apr 14,71.0
Mar 14,73.5
Feb 14,62.3
Jan 14,75.3
Dec 13,109.0
Nov 13,89.8
Oct 13,74.0
Sep 13,71.8
Aug 13,59.5
Jul 13,66.2
Jun 13,64.3
May 13,65.1
Apr 13,63.6
Mar 13,68.8
Feb 13,54.6
Jan 13,64.3
