Retail category,Net intention to increase or decrease spending**
Groceries,14
Entertainment at home,5
Household supplies,2
Snacks,-1
Personal care products,-3
Vitamins/supplements,-4
Food take out/delivery,-5
Non-food child products,-6
Tobacco products,-6
Pet-care services,-8
Gasoline,-9
Alcohol,-10
Books/magazines/newspapers,-13
Fitness and wellness,-14
OTC medicines,-15
Personal care services,-18
Quick-service restaurant,-19
Skincare and makeup,-20
Out of home entertainment,-23
Footwear,-28
Apparel,-29
Restaurant,-30
Vehicle purchases,-30
Furnishings and appliances,-32
Accessories,-33
Consumer electronics,-33
Jewelry,-35
