Year,Attendance
2007 - Giants vs. Dolphins,81176
2008 - Charges vs. Saints,83226
2009 - Patriots vs. Buccaneers,84254
2010 - Broncos vs. 49ers,83941
2011 - Bears vs. Buccaneers,76981
2012 - Patriots vs. Rams,84004
2013 - Steelers vs. Vikings,83518
2013 - 49ers vs. Jaguars,83559
2014 - Dolphins vs. Raiders,83436
2014 - Lions vs. Falcons,83532
2014 - Cowboys vs. Jaguars,83603
2015 - Jets vs. Dolphins,83986
2015 - Bills vs. Jaguars,84021
2015 - Lions vs. Chiefs,83624
2016 - Colts vs. Jaguars,83764
2016 - Giants vs. Rams,74121
2016 - Washington vs. Bengals,84488
2017 - Ravens vs. Jaguars,84592
2017 - Saints vs. Dolphins,84423
2017 - Cardinals vs. Rams,73736
2017 - Vikings vs. Browns,74237
2018 - Seahawks vs. Raiders,84922
2018 - Titans vs. Chargers,84301
2018 - Eagles vs. Jaguars,85870
2019 - Bears vs. Raiders,60463
2019 - Panthers vs. Buccaneers,60087
2019 - Bengals vs. Rams,83720
2019 - Texans vs. Jaguars,84771
