Year,Number of smallpox cases
1952,0
1951,0
1950,0
1949,49
1948,57
1947,176
1946,357
1945,346
1944,398
1943,765
1942,865
1941,1396
1940,2795
1939,9877
1938,14939
1937,11673
1936,7834
1935,7957
1934,5371
1933,6491
1932,11194
1931,30151
1930,48329
1929,42341
1928,39396
1927,37977
1926,32694
1925,39381
1924,56513
1923,30890
1922,33305
1921,108487
1920,110672
1919,62876
1918,80334
1917,47508
1916,19740
1915,38381
1914,40474
1913,38400
1912,23566
1911,23044
1910,31254
1909,23560
1908,33998
1907,18977
1906,15223
1905,19417
1904,31697
1903,52737
1902,72946
1901,62374
1900,21064
